method,region,trace_id,qoe,average_bitrate_mbps,total_rebuffer_s,startup_delay_s,smoothness_penalty_mbps,wasted_traffic_ratio,preflight_capped_decisions,rescue_decisions,severe_session
dash_dynamic,vic,vic_recording_111_window_000.trace,1199.7359999847413,32.416666666666664,3.75660000038147,0.8728000001907349,206,0,0,0,0
dash_dynamic,vic,vic_recording_112_window_000.trace,541.5280000305175,15.041666666666666,1.8617999992370604,0.8446999998092651,106,0,0,0,0
lumos_mpc,osn,osn_recording_099_window_001.trace,5261.503999977112,114.54166666666667,3.1124000005722046,0.8325,112,0,0,0,0
lumos_mpc,osn,osn_recording_080_window_001.trace,4827.4640000152585,113.91666666666667,13.213399999618531,0.8834000005722046,112,0,0,0,1
lumos_mpc,osn,osn_recording_093_window_000.trace,4889.087999954224,115.16666666666667,13.17280000114441,1.1565,112,0,0,0,1
lumos_mpc,osn,osn_recording_063_window_000.trace,4316.356000022888,112.66666666666667,21.491099999427796,0.8231999998092652,232,0,0,0,1
lumos_mpc,osn,osn_recording_062_window_001.trace,3549.8080001068115,112.66666666666667,40.65479999732971,0.8903000001907349,232,0,0,0,1
lumos_mpc,osn,osn_recording_046_window_000.trace,5144.744000015259,115.16666666666667,6.781399999618531,0.8828000001907349,112,0,0,0,0
lumos_mpc,osn,osn_recording_077_window_001.trace,4857.051999931336,115.16666666666667,13.973700001716614,0.8780999994277954,112,0,0,0,1
lumos_mpc,osn,osn_recording_112_window_001.trace,4336.611999969482,113.91666666666667,22.484700000762942,0.8755999994277954,232,0,0,0,1
lumos_mpc,osn,osn_recording_118_window_000.trace,2396.8399998855593,105.95833333333333,55.42900000286102,0.9936000003814697,472,0,0,0,1
lumos_mpc,osn,osn_recording_064_window_000.trace,289.98400009155284,98.29166666666667,85.40039999771118,1.2317999992370605,1012,0,0,0,1
lumos_mpc,us,us_recording_238_window_008.trace,4501.5759999465945,115.16666666666667,22.860600001335147,0.8640999994277954,112,0,0,0,1
lumos_mpc,us,us_recording_223_window_004.trace,4376.767999992371,113.14583333333333,23.55580000019073,0.9383999996185303,112,0,0,0,1
lumos_mpc,us,us_recording_196_window_014.trace,4649.871999931335,113.91666666666667,17.653200001716613,1.0077000007629395,112,0,0,0,1
lumos_mpc,us,us_recording_222_window_001.trace,3080.9840000152585,113.60416666666667,56.50039999961854,0.8684000005722046,112,0,0,0,1
lumos_mpc,us,us_recording_192_window_007.trace,4101.89200000763,113.14583333333333,30.427699999809263,1.000800000190735,112,0,0,0,1
lumos_mpc,us,us_recording_203_window_004.trace,3939.5880000686648,113.29166666666667,34.660299998283385,0.8721000003814697,112,0,0,0,1
lumos_mpc,us,us_recording_213_window_006.trace,3460.536000022888,111.89583333333333,41.961599999427804,0.9772000007629394,232,0,0,0,1
lumos_mpc,us,us_recording_226_window_005.trace,3435.247999916077,112.66666666666667,43.51880000209808,1.0473000001907349,232,0,0,0,1
lumos_mpc,us,us_recording_225_window_004.trace,3539.0479999160766,112.66666666666667,40.92380000209808,0.9153000001907349,232,0,0,0,1
lumos_mpc,us,us_recording_212_window_001.trace,1647.011999931336,100.95833333333333,66.6747000017166,3.198,532,0,0,0,1
lumos_mpc,vic,vic_recording_148_window_000.trace,2739.6160000610353,111.41666666666667,59.40959999847412,0.9156999998092651,232,0,0,0,1
